,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
0,Cleveland Cavaliers,17,14,3,826.0,110.3,101.0,9.3,57.2,1.52,17.3,30.8,70.9,52.1,15.7,52.6,56.6,91.12,57.5
1,Los Angeles Lakers,15,12,3,735.0,107.3,101.1,6.2,55.4,1.54,16.0,31.1,69.2,50.6,14.2,48.8,53.9,95.05,54.3
2,Houston Rockets,16,11,5,773.0,106.0,104.5,1.6,61.1,1.60,17.1,30.0,70.3,49.9,14.8,48.8,53.3,92.71,49.5
3,Boston Celtics,14,10,4,672.0,108.0,100.6,7.4,63.2,1.49,18.1,28.8,67.2,49.1,16.7,51.7,56.5,93.68,56.4
4,San Antonio Spurs,15,10,5,720.0,110.9,102.4,8.5,60.9,1.52,18.6,30.3,73.2,53.1,16.9,54.7,58.3,93.43,56.7
5,Atlanta Hawks,14,9,5,677.0,114.5,103.9,10.6,58.3,2.04,18.0,31.0,70.8,50.4,12.4,52.2,56.0,93.52,54.6
6,Dallas Mavericks,14,9,5,682.0,104.3,101.8,2.4,60.7,1.62,17.6,28.2,68.6,49.6,14.8,49.7,53.9,92.38,54.0
7,Memphis Grizzlies,13,9,4,634.0,112.2,106.8,5.4,45.3,1.29,14.2,38.4,67.0,52.7,15.3,50.3,54.4,93.73,53.4
8,New York Knicks,15,9,6,720.0,107.2,103.8,3.5,57.7,1.49,16.9,28.6,71.2,49.9,15.4,51.7,55.2,92.43,51.7
9,Oklahoma City Thunder,15,9,6,720.0,107.1,105.7,1.4,54.2,1.33,15.6,33.3,69.0,51.5,16.1,49.5,54.5,93.33,52.2
10,Orlando Magic,13,9,4,624.0,109.8,103.7,6.1,52.4,1.20,15.0,27.0,72.3,51.3,16.4,53.8,58.4,95.08,55.0
11,Portland Trail Blazers,15,9,6,730.0,108.1,107.4,0.7,52.9,1.53,15.5,31.4,70.7,50.9,13.7,49.2,53.9,88.21,49.6
12,Toronto Raptors,15,9,6,725.0,109.7,109.9,-0.2,58.5,1.63,17.1,32.0,64.4,48.9,14.4,50.7,55.6,91.99,51.2
13,Denver Nuggets,15,8,7,720.0,110.1,105.7,4.4,50.8,1.40,14.6,32.0,69.0,49.8,14.1,48.6,54.5,94.93,51.3
14,Utah Jazz,15,8,7,720.0,103.7,102.4,1.3,69.1,1.65,19.3,31.4,73.1,51.9,16.7,49.4,53.2,94.43,51.8
15,Chicago Bulls,15,7,8,730.0,97.7,102.8,-5.2,57.5,1.22,15.7,33.7,71.7,53.1,17.8,45.3,49.8,92.94,48.5
16,Miami Heat,14,7,7,672.0,106.8,106.4,0.5,52.5,1.69,15.8,27.7,67.5,47.9,12.6,49.6,53.9,92.11,51.8
17,New Orleans Hornets,13,7,6,624.0,102.6,104.4,-1.7,58.8,1.68,17.4,25.9,72.9,48.4,14.1,49.6,52.6,93.62,47.7
18,Phoenix Suns,16,7,9,768.0,111.4,110.8,0.6,54.3,1.43,16.5,30.3,66.1,48.9,15.7,53.6,57.7,96.78,50.8
19,Los Angeles Clippers,14,6,8,677.0,103.5,107.5,-3.9,59.2,1.45,17.2,32.3,68.7,50.5,16.4,49.4,53.0,91.96,48.8
20,Sacramento Kings,15,6,9,735.0,106.8,110.5,-3.7,56.0,1.52,16.6,32.6,66.0,49.0,15.2,50.2,53.3,94.82,47.5
21,Charlotte Bobcats,14,5,9,677.0,101.3,103.0,-1.7,53.2,1.02,14.6,31.2,69.7,50.7,19.3,48.9,53.9,93.98,47.7
22,Detroit Pistons,15,5,10,720.0,100.1,107.5,-7.3,53.0,1.24,14.5,36.1,70.0,51.5,16.3,44.9,49.4,90.10,42.7
23,Minnesota Timberwolves,16,5,11,768.0,101.2,107.8,-6.5,52.0,1.25,14.9,33.6,70.9,52.0,16.4,47.4,51.4,97.59,45.6
24,Washington Wizards,15,5,10,730.0,105.6,108.1,-2.5,47.9,1.24,14.0,30.9,67.5,49.4,14.9,48.7,53.5,96.76,47.6
25,Philadelphia 76ers,14,4,10,677.0,106.0,110.0,-3.9,55.2,1.48,16.1,33.8,68.7,50.5,15.0,48.2,52.7,91.96,47.6
26,Golden State Warriors,15,3,12,725.0,102.5,109.0,-6.5,53.2,1.27,15.6,24.2,64.3,44.1,16.1,50.1,54.8,102.02,45.2
27,Indiana Pacers,16,3,13,768.0,98.3,106.3,-7.9,55.4,1.22,15.1,29.2,69.4,48.9,16.7,46.7,50.9,96.94,43.7
28,Milwaukee Bucks,14,3,11,687.0,99.8,104.9,-5.1,56.8,1.61,16.1,27.4,73.8,47.7,13.6,46.2,49.6,93.55,42.8
29,New Jersey Nets,15,3,12,720.0,100.9,112.0,-11.1,52.0,1.35,14.8,28.3,64.8,45.6,14.6,46.5,51.5,94.43,42.3
